id,label
78161,0
118046,0
76487,0
81548,0
81475,0
79623,0
64246,0
107108,0
104926,0
109834,0
75548,0
85569,0
101466,0
116120,0
112771,0
116323,0
82689,0
103425,0
112557,0
86778,0
69736,0
111006,0
116491,0
85693,0
93083,0
93049,0
91735,0
76056,0
94727,0
105402,0
89633,0
85994,0
73876,0
69848,0
103577,0
117802,0
102048,0
62975,0
89710,0
83453,0
109356,0
96639,0
76889,0
108918,0
97868,0
114125,0
81239,0
114443,0
80499,0
89999,0
80621,0
74207,0
119365,0
69967,0
67585,0
74089,0
100900,0
107324,0
75858,0
95742,0
65990,0
99008,0
64159,0
115957,0
105212,0
95306,0
107785,0
80586,0
104914,0
62032,0
84645,0
90687,0
104778,0
111098,0
86717,0
60735,0
103069,0
63093,0
68481,0
77270,0
83418,0
89641,0
96746,0
91255,0
74507,0
71331,0
91976,0
88787,0
94336,0
96071,0
78768,0
66944,0
115343,0
64553,0
103954,0
74462,0
67888,0
71711,0
74734,0
69516,0
80441,0
109074,0
113347,0
106892,0
119089,0
72558,0
96044,0
96684,0
61383,0
67639,0
115534,0
82982,0
98571,0
116619,0
117550,0
102561,0
118558,0
62465,0
119217,0
94315,0
104453,0
61031,0
77464,0
89942,0
101668,0
65080,0
104177,0
93701,0
69810,0
118976,0
72874,0
97678,0
98460,0
81149,0
108189,0
65451,0
117437,0
95428,0
118472,0
112938,0
87124,0
68341,0
98817,0
111808,0
91770,0
64442,0
86034,0
70276,0
76886,0
78838,0
68656,0
78102,0
78234,0
82810,0
85504,0
93604,0
89636,0
105234,0
72997,0
73209,0
89153,0
116508,0
108247,0
94617,0
72820,0
116216,0
61513,0
105683,0
108477,0
68411,0
75607,0
112928,0
89116,0
88675,0
95964,0
82626,0
99122,0
82648,0
92196,0
72312,0
69610,0
99530,0
92601,0
117027,0
68706,0
101901,0
82156,0
83018,0
89852,0
90930,0
92297,0
62345,0
117748,0
113002,0
103563,0
69285,0
105784,0
77479,0
85867,0
111052,0
112577,0
114910,0
84244,0
107540,0
77885,0
77533,0
61466,0
62757,0
119344,0
92307,0
94255,0
113643,0
65096,0
115690,0
106084,0
114595,0
108213,0
93971,0
77318,0
108227,0
113856,0
105674,0
100349,0
116695,0
81426,0
100852,0
68736,0
115096,0
86120,0
83710,0
87762,0
106787,0
91979,0
103676,0
65088,0
113210,0
77020,0
86352,0
94082,0
104455,0
64208,0
72303,0
95384,0
76064,0
93496,0
92561,0
84147,0
103798,0
114725,0
109657,0
113364,0
90760,0
65188,0
71516,0
67345,0
61233,0
61442,0
113695,0
75822,0
98386,0
109693,0
78131,0
82057,0
114034,0
117957,0
102159,0
107493,0
112717,0
98136,0
98780,0
111710,0
76072,0
116734,0
95545,0
96224,0
89501,0
76050,0
114779,0
62039,0
85432,0
81005,0
116998,0
64751,0
91310,0
100092,0
74594,0
91061,0
75035,0
87837,0
94851,0
60747,0
115048,0
85066,0
90674,0
79020,0
108448,0
92685,0
89469,0
98135,0
66639,0
79645,0
115768,0
106375,0
67761,0
66655,0
95750,0
82865,0
98235,0
73825,0
77629,0
80079,0
72314,0
109711,0
106989,0
118565,0
106483,0
75397,0
118244,0
93373,0
99070,0
75049,0
91280,0
74337,0
107131,0
102254,0
62438,0
108417,0
95562,0
114924,0
96093,0
90775,0
68767,0
104460,0
108967,0
114859,0
100586,0
62822,0
103471,0
70652,0
108978,0
80066,0
113892,0
114681,0
87688,0
77888,0
78450,0
109330,0
101683,0
69557,0
65643,0
78718,0
100761,0
86750,0
78916,0
75328,0
92634,0
69507,0
69337,0
85507,0
110786,0
64722,0
112045,0
66516,0
89242,0
110647,0
74374,0
81901,0
103480,0
72675,0
60057,0
88920,0
65270,0
110794,0
102851,0
101988,0
67203,0
91964,0
79086,0
95510,0
114798,0
97480,0
118795,0
117933,0
112817,0
82009,0
94978,0
116213,0
104298,0
89684,0
76205,0
75770,0
100613,0
65052,0
107366,0
93248,0
76255,0
108186,0
76765,0
93436,0
92848,0
81313,0
114942,0
70687,0
70013,0
98041,0
89169,0
92398,0
72922,0
112558,0
70335,0
105615,0
60667,0
107327,0
113891,0
76032,0
106117,0
73127,0
75716,0
101563,0
77205,0
78411,0
66542,0
106219,0
97072,0
92483,0
111076,0
78305,0
101903,0
117096,0
73232,0
63110,0
81966,0
60200,0
73447,0
96088,0
97152,0
113568,0
84506,0
116134,0
82473,0
75281,0
115825,0
99865,0
80372,0
90268,0
79813,0
86474,0
61471,0
102644,0
66264,0
99274,0
62150,0
105008,0
94850,0
75738,0
60706,0
109467,0
91767,0
80439,0
70661,0
84114,0
115457,0
94420,0
74880,0
87616,0
76495,0
99796,0
75377,0
110110,0
117159,0
65725,0
94893,0
108797,0
112924,0
63772,0
83215,0
88822,0
68402,0
106883,0
107576,0
81745,0
102815,0
89576,0
105777,0
100750,0
112475,0
67409,0
100159,0
98401,0
74329,0
60925,0
85457,0
70745,0
77668,0
65887,0
